QBEDRN,ELU,854
FIACMW,GNUS,922
LDQVTE,WPZ,933
MHNFAB,SVVC,718
XWMGXB,FCAP,612
BLGMAH,FCAP,364
DXASHD,NTG,14
BLGMAH,SNHNL,581
MHNFAB,PXD,138
VKUSOB,DRAM,725
ACGBKD,CHN,320
YSBOGE,QVCB,883
SKAOKL,AOI,2
ZVQDCZ,FBSS,191
LHOLDN,PBHC,752
WISJIT,PEY,191
GYTOGA,PXD,210
KXJHJA,IRM,766
LHOLDN,CWT,220
FIACMW,AXR,87
ZDWRPA,FCNCA,848
ZTZDVB,CHN,626
OGUBEK,EEP,839
OILRQM,CRR,726
GYTOGA,QVCB,703
PSPSYZ,VCEL,297
VYTNXX,CXRX,813
YSBOGE,SHLX,529
EABJZG,KNOP,909
VYTNXX,INFI,730
IGKADC,DE,541
HSIWOY,CHN,915
KXJHJA,GNUS,936
OILRQM,BCC,384
LVDPQX,CDK,536
QHSQKX,EXTR,202
ZVQDCZ,RTK,730
VKUSOB,SQNS,608
HSIWOY,ERF,204
ZDWRPA,FBNK,128
VYTNXX,ROLL,372
ZTONRQ,GSM,294
IKKJOF,PFIN,129
QHSQKX,TPVG,310
EABJZG,PRMW,824
WPZICL,CHN,658
KLDCOS,HIG.WS,78
QBEDRN,PEY,182
LDQVTE,QGEN,447
ACGBKD,ORBK,357
LDQVTE,SHO^F,980
VYTNXX,POST,40
FIACMW,RP,742
SKAOKL,SVVC,223
QYGJPA,FCAP,815
WPZICL,CTWS,398
OGUBEK,DE,864
FIACMW,DRAM,569
GIXUUX,TCCO,936
EABJZG,BCC,416
ACGBKD,ROCK,726
ZVQDCZ,CETX,280
VKUSOB,INDB,243
PSPSYZ,CTR,95
QJGAKT,ORBK,170
QBEDRN,RP,312
GYTOGA,ERF,947
LHOLDN,INFI,853
QHSQKX,FN,510
NPNFJT,LYG,228
ZVQDCZ,PLOW,46
ZTZDVB,PLOW,80
MVUPRO,COO,666
QJGAKT,FCAP,544
FLKQSZ,PEY,991
GIXUUX,SHO^F,12
DXASHD,AMH^A,698
GYTOGA,COO,678
YSBOGE,ROLL,274
JEUSOS,LYG,597
IGKADC,GNUS,489
MVUPRO,GSM,746
EABJZG,QGEN,507
VRBMHQ,SKYS,736
BLGMAH,CNP,82
WPZICL,CDZI,382
QJGAKT,SPB           ,180
NAYAWW,PRTK,852
WLQWRR,PEY,988
OGUBEK,EXG,722
EABJZG,INFI,176
SKAOKL,REX,177
WPZICL,PEY,200
WLQWRR,FBSS,71
UYCBUG,YNDX,747
MHNFAB,DWAQ,511
NPNFJT,AXR,386
SYFXRT,BCC,59
UYCBUG,KHC,257
LDQVTE,LYG,707
IGKADC,CHD,398
MVUPRO,VCEL,58
JEUSOS,HT^C,415
OILRQM,ORBK,496
YSBOGE,HPS,43
MHNFAB,SPB           ,725
WISJIT,FUL,847
FIACMW,CTWS,822
ACGBKD,EEP,705
YSBOGE,FBSS,870
OGUBEK,FCNCA,924
JEUSOS,CXRX,976
LVDPQX,WPZ,591
ARHVMF,WNEB,756
UYCBUG,FCNCA,371
MVUPRO,FBNK,75
WLQWRR,ESPR,827
QHSQKX,CHSCN,97
HSIWOY,SPB           ,909
KLDCOS,SVVC,742
TDLTMF,COO,583
EABJZG,BHACR,483
QYGJPA,FBNK,326
RRSDOR,BUD,2
IGKADC,FBSS,672
KXJHJA,FMO,852
NPNFJT,SNH,872
LHOLDN,SNH,9
DXASHD,ESPR,312
LDQVTE,TCCO,74
